ticker,year,total_days,gap_open_positive,gap_open_positive_complete,gap_open_positive_rate,gap_open_negative,gap_open_negative_complete,gap_open_negative_rate,intraday_positive,intraday_positive_complete,intraday_positive_rate,intraday_negative,intraday_negative_complete,intraday_negative_rate,start_date,end_date
QQQ,2000,135,15,6,40.0,8,8,100.0,57,26,45.614035087719294,71,43,60.56338028169014,2000-06-19,2000-12-29
QQQ,2001,247,25,17,68.0,26,21,80.76923076923077,105,51,48.57142857142857,97,55,56.70103092783505,2001-01-02,2001-12-31
QQQ,2002,251,24,17,70.83333333333334,23,21,91.30434782608695,94,47,50.0,135,75,55.55555555555556,2002-01-02,2002-12-31
QQQ,2003,251,24,21,87.5,23,17,73.91304347826086,121,68,56.19834710743802,109,52,47.706422018348626,2003-01-02,2003-12-31
QQQ,2004,251,28,26,92.85714285714286,18,17,94.44444444444444,115,61,53.04347826086957,104,59,56.730769230769226,2004-01-02,2004-12-31
QQQ,2005,252,10,10,100.0,7,5,71.42857142857143,120,55,45.83333333333333,112,56,50.0,2005-01-03,2005-12-30
QQQ,2006,250,13,13,100.0,13,9,69.23076923076923,114,54,47.368421052631575,113,64,56.63716814159292,2006-01-03,2006-12-29
QQQ,2007,250,30,20,66.66666666666666,24,19,79.16666666666666,106,56,52.83018867924528,89,48,53.93258426966292,2007-01-03,2007-12-31
QQQ,2008,252,24,16,66.66666666666666,31,22,70.96774193548387,104,54,51.92307692307693,112,66,58.92857142857143,2008-01-02,2008-12-31
QQQ,2009,251,34,28,82.35294117647058,22,15,68.18181818181817,110,59,53.63636363636364,94,48,51.06382978723404,2009-01-02,2009-12-31
QQQ,2010,251,38,23,60.526315789473685,30,25,83.33333333333334,90,38,42.22222222222222,96,44,45.83333333333333,2010-01-04,2010-12-31
QQQ,2011,251,43,28,65.11627906976744,35,26,74.28571428571429,97,42,43.29896907216495,91,60,65.93406593406593,2011-01-03,2011-12-30
QQQ,2012,249,43,28,65.11627906976744,36,28,77.77777777777779,89,47,52.80898876404494,86,47,54.65116279069767,2012-01-03,2012-12-31
QQQ,2013,251,45,35,77.77777777777779,31,19,61.29032258064516,99,47,47.474747474747474,87,44,50.57471264367817,2013-01-02,2013-12-31
QQQ,2014,251,38,29,76.31578947368422,28,22,78.57142857142857,94,47,50.0,95,59,62.10526315789474,2014-01-02,2014-12-31
QQQ,2015,251,41,31,75.60975609756098,33,29,87.87878787878788,81,37,45.67901234567901,82,49,59.756097560975604,2015-01-02,2015-12-31
QQQ,2016,251,39,30,76.92307692307693,33,23,69.6969696969697,80,40,50.0,92,51,55.434782608695656,2016-01-04,2016-12-30
QQQ,2017,250,49,35,71.42857142857143,28,22,78.57142857142857,88,39,44.31818181818182,79,42,53.16455696202531,2017-01-03,2017-12-29
QQQ,2018,250,43,37,86.04651162790698,34,27,79.41176470588235,98,49,50.0,85,53,62.35294117647059,2018-01-02,2018-12-31
QQQ,2019,251,53,40,75.47169811320755,33,21,63.63636363636363,76,41,53.94736842105263,78,44,56.41025641025641,2019-01-02,2019-12-31
QQQ,2020,252,56,46,82.14285714285714,38,28,73.68421052631578,95,40,42.10526315789473,66,40,60.60606060606061,2020-01-02,2020-12-31
QQQ,2021,251,45,33,73.33333333333333,36,31,86.11111111111111,94,52,55.319148936170215,80,46,57.49999999999999,2021-01-04,2021-12-31
QQQ,2022,250,34,25,73.52941176470588,40,32,80.0,85,42,49.411764705882355,101,62,61.386138613861384,2022-01-03,2022-12-30
QQQ,2023,249,40,27,67.5,34,25,73.52941176470588,97,60,61.855670103092784,85,46,54.11764705882353,2023-01-03,2023-12-29
QQQ,2024,251,58,47,81.03448275862068,29,16,55.172413793103445,75,42,56.00000000000001,82,45,54.87804878048781,2024-01-02,2024-12-31
QQQ,2025,108,19,14,73.68421052631578,20,13,65.0,31,16,51.61290322580645,33,19,57.57575757575758,2025-01-02,2025-06-10
