ticker,year,total_days,positive_382_touches,positive_golden_gates,positive_probability,negative_382_touches,negative_golden_gates,negative_probability,start_date,end_date
SPY,2000,135,71,36,50.70422535211267,68,45,66.17647058823529,2000-06-19,2000-12-29
SPY,2001,247,109,59,54.12844036697248,116,74,63.793103448275865,2001-01-02,2001-12-31
SPY,2002,251,108,60,55.55555555555556,147,96,65.3061224489796,2002-01-02,2002-12-31
SPY,2003,251,127,77,60.629921259842526,120,74,61.66666666666667,2003-01-02,2003-12-31
SPY,2004,250,91,42,46.15384615384615,87,51,58.620689655172406,2004-01-02,2004-12-31
SPY,2005,251,111,60,54.054054054054056,107,64,59.813084112149525,2005-01-03,2005-12-30
SPY,2006,250,69,35,50.72463768115942,60,28,46.666666666666664,2006-01-03,2006-12-29
SPY,2007,249,60,35,58.333333333333336,63,38,60.317460317460316,2007-01-03,2007-12-31
SPY,2008,252,114,65,57.01754385964912,132,74,56.060606060606055,2008-01-02,2008-12-31
SPY,2009,251,113,62,54.86725663716814,105,55,52.38095238095239,2009-01-02,2009-12-31
SPY,2010,251,113,47,41.5929203539823,122,58,47.540983606557376,2010-01-04,2010-12-31
SPY,2011,251,119,57,47.89915966386555,103,62,60.19417475728155,2011-01-03,2011-12-30
SPY,2012,249,107,51,47.66355140186916,117,58,49.572649572649574,2012-01-03,2012-12-31
SPY,2013,251,122,72,59.01639344262295,109,60,55.04587155963303,2013-01-02,2013-12-31
SPY,2014,251,121,60,49.586776859504134,119,67,56.30252100840336,2014-01-02,2014-12-31
SPY,2015,251,98,51,52.04081632653062,107,59,55.140186915887845,2015-01-02,2015-12-31
SPY,2016,251,106,56,52.83018867924528,107,59,55.140186915887845,2016-01-04,2016-12-30
SPY,2017,250,113,60,53.09734513274337,104,53,50.96153846153846,2017-01-03,2017-12-29
SPY,2018,250,112,64,57.14285714285714,113,61,53.98230088495575,2018-01-02,2018-12-31
SPY,2019,251,108,54,50.0,91,51,56.043956043956044,2019-01-02,2019-12-31
SPY,2020,252,111,54,48.64864864864865,93,42,45.16129032258064,2020-01-02,2020-12-31
SPY,2021,251,116,63,54.310344827586206,94,51,54.25531914893617,2021-01-04,2021-12-31
SPY,2022,250,108,58,53.70370370370371,128,67,52.34375,2022-01-03,2022-12-30
SPY,2023,249,123,68,55.28455284552846,107,58,54.20560747663551,2023-01-03,2023-12-29
SPY,2024,251,129,72,55.81395348837209,87,51,58.620689655172406,2024-01-02,2024-12-31
SPY,2025,108,40,23,57.49999999999999,46,21,45.65217391304348,2025-01-02,2025-06-10
